u,v,weight
20,98,0.0012777436
20,100,0.0030957968
20,130,0.012985267
20,202,0.008169856
20,212,0.0043739625
20,355,0.010299891
20,364,0.006133081
20,366,0.0032648644
20,458,0.0012777436
20,459,0.0012777436
20,460,0.0012777436
20,461,0.0045426083
20,462,0.0013707528
20,463,0.0013707528
20,464,0.0013707528
20,465,0.0013707528
20,466,0.0013707528
20,467,0.001451113
20,468,0.001451113
20,469,0.001451113
20,470,0.001451113
20,471,0.013095259
20,472,0.0016231587
20,473,0.0016231587
20,474,0.0016231587
20,475,0.0016231587
20,476,0.0016231587
20,477,0.0017215825
20,478,0.0017215825
20,479,0.0017215825
20,480,0.0017215825
20,481,0.0075040306
20,482,0.0018052871
20,483,0.010084209
20,484,0.002019324
20,485,0.002019324
20,486,0.0021458417
20,487,0.0021458417
20,488,0.0021458417
20,489,0.0021458417
20,490,0.0022802863
20,491,0.0022802863
20,492,0.0022802863
20,493,0.0024185565
20,494,0.0024185565
20,495,0.0024185565
20,496,0.0026044804
20,497,0.0026044804
20,498,0.0026044804
20,499,0.0027624094
20,500,0.0027624094
20,501,0.0027624094
20,502,0.0029132701
20,503,0.0029132701
20,504,0.0029132701
20,505,0.0069253067
20,506,0.0030957968
20,507,0.0030957968
20,508,0.0030957968
20,509,0.0069253067
20,510,0.0030957968
20,511,0.0030957968
20,512,0.0032648644
20,513,0.0032648644
20,514,0.0036037243
20,515,0.0036037243
20,516,0.0036037243
20,517,0.0036519493
20,518,0.0038295102
20,519,0.0038513895
20,520,0.0040386477
20,521,0.0040386477
20,522,0.0040386477
20,523,0.004084928
20,524,0.0043244073
20,525,0.0043244073
20,526,0.0043244073
20,527,0.0043739625
20,528,0.0043739625
20,529,0.004586628
20,530,0.004586628
20,531,0.004586628
20,532,0.004648006
20,533,0.0048555196
20,534,0.0048555196
20,535,0.0048555196
20,536,0.005149946
20,537,0.005149946
20,538,0.005149946
20,539,0.005462225
20,540,0.005462225
20,541,0.005462225
20,542,0.005782448
20,543,0.005782448
20,544,0.006133081
20,545,0.006133081
20,546,0.0064926334
20,547,0.0064926334
20,548,0.0064926334
20,549,0.00688633
20,550,0.00688633
20,551,0.00688633
20,552,0.0073038987
20,553,0.0073038987
20,554,0.0073038987
20,555,0.007702779
20,556,0.007702779
20,557,0.007702779
20,558,0.01681867
20,559,0.019094305
20,560,0.008648815
20,561,0.008648815
20,562,0.008648815
20,563,0.009173256
20,564,0.009173256
20,565,0.009173256
20,566,0.010299891
20,567,0.010299891
20,568,0.010299891
20,569,0.01092445
20,570,0.01092445
20,571,0.01092445
20,572,0.01092445
20,573,0.011564896
20,574,0.011564896
20,575,0.011564896
20,576,0.026038822
20,577,0.012266163
20,578,0.012266163
20,579,0.012266163
20,580,0.012266163
20,581,0.012266163
20,582,0.012985267
20,583,0.012985267
20,584,0.012985267
20,585,0.012985267
20,586,0.01377266
20,587,0.01377266
20,588,0.01377266
20,589,0.01377266
20,590,0.014607797
20,591,0.014607797
20,592,0.014607797
20,593,0.014607797
20,594,0.015434843
20,595,0.015434843
20,596,0.015434843
20,597,0.016370771
20,598,0.017330509
20,599,0.017330509
21,602,1.0
22,129,0.049055886
22,226,0.046251323
22,242,0.05487199
22,369,0.046251323
22,605,0.03891104
22,606,0.03891104
22,607,0.041192204
22,608,0.041192204
22,609,0.041192204
22,610,0.043689992
22,611,0.043689992
22,612,0.043689992
22,613,0.046251323
22,614,0.10411999
22,615,0.049055886
22,616,0.052030496
22,617,0.052030496
22,618,0.05487199
22,619,0.05487199
22,620,0.05786866
23,621,0.08869224
23,622,0.08869224
23,623,0.0940703
23,624,0.0940703
23,625,0.09958519
23,626,0.09958519
23,627,0.10562377
23,628,0.10562377
23,629,0.112028524
23,630,0.112028524
24,633,0.028709745
24,634,0.028709745
24,635,0.028709745
24,636,0.030624604
24,637,0.030624604
24,638,0.031034425
24,639,0.032419976
24,640,0.035784844
24,641,0.035784844
24,642,0.036470905
24,643,0.036470905
24,644,0.037954744
24,645,0.037954744
24,646,0.04245469
24,647,0.04245469
24,648,0.04494361
24,649,0.04494361
24,650,0.04494361
24,651,0.053523432
24,652,0.053523432
24,653,0.053523432
24,654,0.11686599
24,655,0.07156969
25,107,0.018631486
25,338,0.013186967
25,358,0.05090379
25,415,0.015704386
25,658,0.011744533
25,659,0.011744533
25,660,0.03003276
25,661,0.027239613
25,662,0.029026574
25,663,0.012433058
25,664,0.012433058
25,665,0.013186967
25,666,0.029780481
25,667,0.02966444
25,668,0.013960053
25,669,0.030553568
25,670,0.07851323
25,671,0.05000596
25,672,0.02961311
25,673,0.014806555
25,674,0.014806555
25,675,0.046215326
25,676,0.014806555
25,677,0.014806555
25,678,0.014806555
25,679,0.031408772
25,680,0.015704386
25,681,0.015704386
25,682,0.015704386
25,683,0.015704386
25,684,0.015704386
25,685,0.015704386
25,686,0.015704386
25,687,0.03318703
25,688,0.016593516
25,689,0.016593516
25,690,0.016593516
25,691,0.035199404
25,692,0.017599702
25,693,0.018631486
25,694,0.018631486
25,695,0.018631486
25,696,0.018631486
25,697,0.019761251
26,699,0.5
26,700,0.5
27,222,0.021812648
27,703,0.02064386
27,704,0.02064386
27,705,0.0206831
27,706,0.020761807
27,707,0.021812648
27,708,0.021812648
27,709,0.021812648
27,710,0.021812648
27,711,0.021812648
27,712,0.023223344
27,713,0.023223344
27,714,0.023223344
27,715,0.02326749
27,716,0.02449162
27,717,0.02449162
27,718,0.02449162
27,719,0.02587825
27,720,0.025976729
27,721,0.025976729
27,722,0.025976729
27,723,0.02760426
27,724,0.02760426
27,725,0.02760426
27,726,0.029111784
27,727,0.029111784
27,728,0.029111784
27,729,0.029278109
27,730,0.029278109
27,731,0.031053457
27,732,0.031053457
27,733,0.06392743
27,734,0.031053457
27,735,0.032501522
27,736,0.032501522
27,737,0.06537549
28,304,0.08483602
28,740,0.079834126
28,741,0.079834126
28,742,0.079834126
28,743,0.07998588
28,744,0.08013792
28,745,0.08483602
28,746,0.08483602
28,747,0.08483602
28,748,0.08483602
28,749,0.08483602
28,750,0.09135769
29,123,0.24311775
29,752,0.24311775
29,753,0.25688228
29,754,0.25688228
30,358,0.019567681
30,362,0.018448984
30,558,0.017394243
30,696,0.016430974
30,756,0.032246064
30,757,0.013797082
30,758,0.013797082
30,759,0.015491604
30,760,0.015491604
30,761,0.015491604
30,762,0.015491604
30,763,0.015491604
30,764,0.016430974
30,765,0.016430974
30,766,0.016430974
30,767,0.016430974
30,768,0.016430974
30,769,0.016430974
30,770,0.016430974
30,771,0.017394243
30,772,0.017394243
30,773,0.018448984
30,774,0.018448984
30,775,0.018448984
30,776,0.018448984
30,777,0.018448984
30,778,0.019567681
30,779,0.019567681
30,780,0.045384184
30,781,0.020714838
30,782,0.020714838
30,783,0.020714838
30,784,0.021970933
30,785,0.021970933
30,786,0.021970933
30,787,0.021970933
30,788,0.02325898
30,789,0.02325898
30,790,0.024669344
30,791,0.024669344
30,792,0.026165228
30,793,0.026165228
30,794,0.026165228
30,795,0.027646616
30,796,0.027646616
30,797,0.027646616
30,798,0.027646616
30,799,0.029323036
31,246,0.049070016
31,300,0.05184819
31,802,0.046264645
31,803,0.046264645
31,804,0.046264645
31,805,0.046264645
31,806,0.049070016
31,807,0.049070016
31,808,0.049070016
31,809,0.05184819
31,810,0.05184819
31,811,0.054992132
31,812,0.054992132
31,813,0.054992132
31,814,0.058216054
31,815,0.058216054
31,816,0.058216054
31,817,0.06174612
31,818,0.06174612
32,821,0.0775844
32,822,0.0775844
32,823,0.0775844
32,824,0.0775844
32,825,0.16519521
32,826,0.08260205
32,827,0.08260205
32,828,0.08260205
32,829,0.0876108
32,830,0.09452513
32,831,0.09452513
33,620,0.051432077
33,833,0.051432077
33,834,0.051432077
33,835,0.054550786
33,836,0.054550786
33,837,0.054550786
33,838,0.06471837
33,839,0.06471837
33,840,0.06471837
33,841,0.06851249
33,842,0.06851249
33,843,0.06851249
33,844,0.06851249
33,845,0.06851249
33,846,0.07266691
33,847,0.07266691
34,529,0.5
34,849,0.5
35,852,0.16077326
35,853,0.16077326
35,854,0.165105
35,855,0.165105
35,856,0.17412172
35,857,0.17412172
36,286,0.07218714
36,331,0.07218714
36,376,0.068060145
36,470,0.068060145
36,798,0.064291075
36,859,0.06061551
36,860,0.06061551
36,861,0.06061551
36,862,0.064291075
36,863,0.064291075
36,864,0.064291075
36,865,0.068060145
36,866,0.068060145
36,867,0.07218714
36,868,0.07218714
37,306,0.109923705
37,871,0.08702587
37,872,0.08702587
37,873,0.08702587
37,874,0.09771416
37,875,0.09771416
37,876,0.10363929
37,877,0.10363929
37,878,0.109923705
37,879,0.116367996
38,610,0.16618784
38,882,0.15788153
38,883,0.15788153
38,884,0.16618784
38,885,0.17593063
38,886,0.17593063
39,249,0.04523635
39,287,0.04289383
39,758,0.047706798
39,889,0.041138705
39,890,0.041138705
39,891,0.041138705
39,892,0.04289383
39,893,0.04289383
39,894,0.04523635
39,895,0.04523635
39,896,0.04523635
39,897,0.047706798
39,898,0.047706798
39,899,0.05012143
39,900,0.05012143
39,901,0.05012143
39,902,0.053974465
39,903,0.053974465
39,904,0.053974465
39,905,0.053974465
39,906,0.05757441
40,909,0.24288057
40,910,0.24288057
40,911,0.25711945
40,912,0.25711945
41,429,0.0836324
41,915,0.06633708
41,916,0.06633708
41,917,0.14471054
41,918,0.14045222
41,919,0.07022611
41,920,0.0836324
41,921,0.0836324
41,922,0.0836324
41,923,0.08870366
41,924,0.08870366
42,927,0.18572208
42,928,0.18572208
42,929,0.19698374
42,930,0.19698374
42,931,0.23458834
43,328,1.0
44,936,0.33333334
44,937,0.33333334
44,938,0.33333334
45,371,0.087261654
45,941,0.0692158
45,942,0.1469325
45,943,0.0692158
45,944,0.07327358
45,945,0.07327358
45,946,0.07327358
45,947,0.07771669
45,948,0.07771669
45,949,0.08242923
45,950,0.08242923
45,951,0.087261654
46,42,0.052228544
46,286,0.046515618
46,537,0.049242605
46,954,0.04385629
46,955,0.04385629
46,956,0.04385629
46,957,0.046515618
46,958,0.046515618
46,959,0.049242605
46,960,0.049242605
46,961,0.049242605
46,962,0.049242605
46,963,0.049242605
46,964,0.052228544
46,965,0.052228544
46,966,0.052228544
46,967,0.055290453
46,968,0.055290453
46,969,0.055290453
46,970,0.058643118
47,972,0.3333333
47,973,0.3333333
47,974,0.3333333
48,54,0.04952128
48,270,0.044104483
48,291,0.044104483
48,436,0.046778858
48,923,0.04952128
48,977,0.044104483
48,978,0.044104483
48,979,0.044104483
48,980,0.044104483
48,981,0.046778858
48,982,0.046778858
48,983,0.046778858
48,984,0.046778858
48,985,0.046778858
48,986,0.04952128
48,987,0.04952128
48,988,0.04952128
48,989,0.04952128
48,990,0.052524116
48,991,0.052524116
48,992,0.052524116
49,995,0.5
49,996,0.5
50,39,0.18021388
50,100,0.3197861
50,997,0.18021388
50,998,0.3197861
51,1000,1.0
52,1003,0.04192804
52,1004,0.04192804
52,1005,0.044470448
52,1006,0.044470448
52,1007,0.044470448
52,1008,0.044470448
52,1009,0.044470448
52,1010,0.13404335
52,1011,0.13404335
52,1012,0.14190166
52,1013,0.2838033
53,988,0.068283424
53,1016,0.06269053
53,1017,0.06269053
53,1018,0.068283424
53,1019,0.17994991
53,1020,0.068283424
53,1021,0.072561614
53,1022,0.072561614
53,1023,0.07465828
53,1024,0.07918537
53,1025,0.07918537
53,1026,0.11166648
54,1029,0.119694434
54,1030,0.119694434
54,1031,0.119694434
54,1032,0.119694434
54,1033,0.12647113
54,1034,0.12647113
54,1035,0.13414001
54,1036,0.13414001
55,74,0.31339103
55,1039,0.31339103
55,1040,0.373218
56,111,0.009728707
56,172,0.013797717
56,177,0.024576955
56,442,0.009728707
56,618,0.015492316
56,802,0.035708986
56,803,0.00688577
56,835,0.012288478
56,894,0.009189945
56,986,0.024576955
56,1042,0.00688577
56,1043,0.00688577
56,1044,0.0072894483
56,1045,0.0072894483
56,1046,0.0072894483
56,1047,0.0077756345
56,1048,0.0077756345
56,1049,0.0077756345
56,1050,0.008215865
56,1051,0.008215865
56,1052,0.008215865
56,1053,0.023271156
56,1054,0.008664549
56,1055,0.008664549
56,1056,0.009189945
56,1057,0.009189945
56,1058,0.009189945
56,1059,0.009728707
56,1060,0.010318629
56,1061,0.010318629
56,1062,0.010318629
56,1063,0.010923562
56,1064,0.010923562
56,1065,0.011585937
56,1066,0.011585937
56,1067,0.012288478
56,1068,0.012288478
56,1069,0.01300889
56,1070,0.01300889
56,1071,0.013797717
56,1072,0.014606608
56,1073,0.014606608
56,1074,0.014606608
56,1075,0.015492316
56,1076,0.016431728
56,1077,0.016431728
56,1078,0.016431728
56,1079,0.017329099
56,1080,0.035708986
56,1081,0.017329099
56,1082,0.01837989
56,1083,0.01837989
56,1084,0.01837989
56,1085,0.019457413
56,1086,0.019457413
56,1087,0.020637259
56,1088,0.020637259
56,1089,0.021847121
56,1090,0.021847121
56,1091,0.023171874
56,1092,0.023171874
56,1093,0.024576955
56,1094,0.02601778
56,1095,0.02601778
56,1096,0.027595434
56,1097,0.027595434
57,316,0.032884106
57,334,0.034878112
57,709,0.039013293
57,1100,0.026083617
57,1101,0.026083617
57,1102,0.027665261
57,1103,0.027665261
57,1104,0.029287137
57,1105,0.029287137
57,1106,0.031063033
57,1107,0.031063033
57,1108,0.031063033
57,1109,0.031063033
57,1110,0.031063033
57,1111,0.032884106
57,1112,0.032884106
57,1113,0.032884106
57,1114,0.034878112
57,1115,0.07868292
57,1116,0.034878112
57,1117,0.03699303
57,1118,0.03699303
57,1119,0.039013293
57,1120,0.041378956
57,1121,0.041378956
57,1122,0.041378956
57,1123,0.043804806
57,1124,0.043804806
58,29,0.011122273
58,277,0.022244547
58,440,0.013968904
58,927,0.0049247057
58,928,0.0052035255
58,940,0.00689222
58,953,0.015684528
58,1108,0.01324554
58,1127,0.0049247057
58,1128,0.0049247057
58,1129,0.0052035255
58,1130,0.0052035255
58,1131,0.0055085826
58,1132,0.0055085826
58,1133,0.0055085826
58,1134,0.0055085826
58,1135,0.005809418
58,1136,0.017583737
58,1137,0.005809418
58,1138,0.005809418
58,1139,0.005809418
